truth_table,bias,influence_0,influence_1,influence_2,influence_3,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,fourier_energy_degree_4,algebraic_degree,input_symmetries,anf_terms_degree_0,fourier_l1_degree_0,fourier_negative_degree_0,fourier_zero_degree_0,anf_terms_degree_1,fourier_l1_degree_1,fourier_negative_degree_1,fourier_zero_degree_1,anf_terms_degree_2,fourier_l1_degree_2,fourier_negative_degree_2,fourier_zero_degree_2,anf_terms_degree_3,fourier_l1_degree_3,fourier_negative_degree_3,fourier_zero_degree_3,anf_terms_degree_4,fourier_l1_degree_4,fourier_negative_degree_4,fourier_zero_degree_4,sensitivity_variance,maximum_local_sensitivity,zero_conditional_sensitivity,one_conditional_sensitivity,khrapchenko_product,order_2_derivative_std,order_2_derivative_max,order_3_derivative_std,order_3_derivative_max,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,constant_faces_codimension_1,constant_faces_codimension_2,constant_faces_codimension_3,decision_tree_depth,decision_tree_leaf_count,and_factorable_partitions,or_factorable_partitions,xor_factorable_partitions,prime_0_count,prime_0_mean_literals,prime_0_minimum_literals,prime_1_count,prime_1_mean_literals,prime_1_minimum_literals,one_region_components,zero_region_components,total_monochromatic_components,maximum_absolute_walsh,fourier_entropy,canalizing_variable_count,cofactor_orbit_diversity,target_NAND,target_NOR,target_AND_OR_NOT
69,-10,2,2,6,6,100,80,56,16,4,4,2,1,10,1,0,3,16,1,0,4,16,2,0,3,8,1,0,1,2,0,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,5,11,5,5
70,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,2,12,1,0,3,16,3,0,2,12,3,0,1,2,1,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,13,7,6
71,-8,4,4,4,8,64,96,64,32,0,3,1,1,8,1,0,2,16,0,1,3,16,1,2,2,8,1,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,11,5,6
72,-12,4,4,4,4,144,32,32,32,16,3,2,0,12,1,0,0,8,1,2,2,8,2,4,2,8,1,2,0,4,0,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,5,11,8,6
73,-10,6,6,6,6,100,48,24,48,36,4,2,1,10,1,0,4,12,1,0,4,12,2,0,2,12,1,0,1,6,0,0,2.25,4,0.9230769230769231,4.0,3.6923076923076925,0.125,0.375,0.0,0.375,1.9375,4,1.4615384615384615,4.0,1,9,20,4,8,1,0,0,5,2.0,1,3,4.0,4,3,1,4,10,2.848681565885773,1,6,17,10,10
74,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,1,12,2,0,3,16,4,0,3,12,2,0,1,2,0,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,12,8,6
75,-8,4,4,8,8,64,80,48,48,16,3,1,1,8,1,0,3,12,0,2,3,12,1,3,1,12,1,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,7,14,9,9
76,-10,2,2,6,6,100,80,56,16,4,4,2,0,10,1,0,1,16,1,0,1,16,4,0,1,8,3,0,1,2,0,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,5,8,5,4
77,-8,4,4,4,8,64,112,48,16,16,3,2,1,8,1,0,3,20,1,0,5,12,1,3,3,4,0,3,0,4,0,0,1.1875,3,0.8333333333333334,2.5,2.0833333333333335,0.125,0.5,0.0,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,4,7,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,6,11,6,7
78,-8,4,4,4,8,64,96,64,32,0,3,1,0,8,1,0,2,16,1,1,4,16,3,2,2,8,2,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,10,5,5
79,-6,2,2,6,10,36,144,56,16,4,4,1,1,6,1,0,2,20,1,0,2,16,3,0,2,8,2,0,1,2,0,0,0.6875,3,0.9090909090909091,2.0,1.8181818181818181,0.186338998125,0.625,0.108253175473,0.625,1.5625,3,1.2727272727272727,2.2,1,9,22,4,5,1,0,0,3,1.6666666666666667,1,2,2.5,2,1,1,2,10,2.848681565885773,1,7,8,5,5
80,-12,0,4,4,4,144,48,48,16,0,3,2,0,12,1,0,1,12,1,1,2,12,2,3,1,4,1,3,0,0,0,1,0.9375,3,0.42857142857142855,3.0,1.2857142857142856,0.0,0.25,0.0,0.25,1.25,3,1.0,3.0,3,15,26,3,4,6,0,0,3,1.0,1,1,3.0,3,1,1,2,12,2.216917186688699,3,4,8,4,3
81,-10,2,2,6,6,100,80,56,16,4,4,2,1,10,1,0,3,16,1,0,4,16,2,0,3,8,1,0,1,2,0,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,5,11,5,5
82,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,2,12,1,0,3,16,3,0,2,12,3,0,1,2,1,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,13,7,6
83,-8,4,4,4,8,64,96,64,32,0,3,1,1,8,1,0,2,16,0,1,3,16,1,2,2,8,1,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,11,5,6
84,-10,2,2,6,6,100,80,56,16,4,4,4,0,10,1,0,2,16,2,0,5,16,5,0,4,8,4,0,1,2,1,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,4,10,4,4
85,-8,0,0,8,8,64,128,64,0,0,2,4,1,8,1,0,2,16,0,2,1,8,0,5,0,0,0,4,0,0,0,1,0.5,2,0.6666666666666666,2.0,1.3333333333333333,0.186338998125,0.5,0.0,0.5,1.25,2,1.0,2.0,2,12,24,2,3,4,0,0,2,1.0,1,1,2.0,2,1,1,2,8,2.0,2,3,6,1,2
86,-8,4,4,8,8,64,80,48,48,16,3,2,0,8,1,0,3,12,0,2,4,12,2,3,1,12,3,1,0,4,1,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,6,14,7,7
87,-6,2,2,6,10,36,144,56,16,4,4,2,1,6,1,0,1,20,0,0,2,16,2,0,3,8,3,0,1,2,1,0,0.6875,3,0.9090909090909091,2.0,1.8181818181818181,0.186338998125,0.625,0.108253175473,0.625,1.5625,3,1.2727272727272727,2.2,1,9,22,4,5,1,0,0,3,1.6666666666666667,1,2,2.5,2,1,1,2,10,2.848681565885773,1,6,9,4,4
88,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,1,12,2,0,3,16,4,0,3,12,2,0,1,2,0,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,12,8,6
89,-8,4,4,8,8,64,80,48,48,16,3,1,1,8,1,0,3,12,0,2,3,12,1,3,1,12,1,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,7,14,9,9
90,-8,0,8,8,8,64,64,64,64,0,2,2,0,8,1,0,2,8,0,3,2,8,1,5,0,8,1,3,0,0,0,1,1.25,3,1.0,3.0,3.0,0.186338998125,0.5,0.216506350946,0.5,1.75,3,1.3333333333333333,3.0,1,8,20,3,5,2,0,0,3,1.6666666666666667,1,2,3.0,3,2,1,3,8,2.0,1,5,10,5,5
91,-6,2,6,6,10,36,112,56,48,4,4,2,1,6,1,0,2,16,0,0,4,16,1,0,4,12,1,0,1,2,0,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,12,7,7
92,-8,4,4,4,8,64,96,64,32,0,3,1,0,8,1,0,2,16,1,1,4,16,3,2,2,8,2,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,10,5,5
93,-6,2,2,6,10,36,144,56,16,4,4,1,1,6,1,0,2,20,1,0,2,16,3,0,2,8,2,0,1,2,0,0,0.6875,3,0.9090909090909091,2.0,1.8181818181818181,0.186338998125,0.625,0.108253175473,0.625,1.5625,3,1.2727272727272727,2.2,1,9,22,4,5,1,0,0,3,1.6666666666666667,1,2,2.5,2,1,1,2,10,2.848681565885773,1,7,8,5,5
94,-6,2,6,6,10,36,112,56,48,4,4,2,0,6,1,0,3,16,1,0,5,16,4,0,3,12,4,0,1,2,1,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,13,6,6
95,-4,0,4,4,12,16,176,48,16,0,3,2,1,4,1,0,1,20,0,1,1,12,1,3,1,4,1,3,0,0,0,1,0.4375,2,1.0,1.6666666666666667,1.6666666666666667,0.25,0.75,0.216506350946,0.75,1.5,2,1.2,2.0,1,9,22,3,4,2,0,0,2,1.5,1,2,2.0,2,1,1,2,12,2.216917186688699,1,5,6,4,3
96,-12,4,4,4,4,144,32,32,32,16,3,2,0,12,1,0,0,8,1,2,2,8,2,4,2,8,1,2,0,4,0,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,5,11,8,6
97,-10,6,6,6,6,100,48,24,48,36,4,2,1,10,1,0,4,12,1,0,4,12,2,0,2,12,1,0,1,6,0,0,2.25,4,0.9230769230769231,4.0,3.6923076923076925,0.125,0.375,0.0,0.375,1.9375,4,1.4615384615384615,4.0,1,9,20,4,8,1,0,0,5,2.0,1,3,4.0,4,3,1,4,10,2.848681565885773,1,6,17,10,10
98,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,1,12,2,0,3,16,4,0,3,12,2,0,1,2,0,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,12,8,6
99,-8,4,4,8,8,64,80,48,48,16,3,1,1,8,1,0,3,12,0,2,3,12,1,3,1,12,1,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,7,14,9,9
100,-10,2,6,6,6,100,48,56,48,4,4,1,0,10,1,0,1,12,2,0,3,16,4,0,3,12,2,0,1,2,0,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,7,12,8,6
101,-8,4,4,8,8,64,80,48,48,16,3,1,1,8,1,0,3,12,0,2,3,12,1,3,1,12,1,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,7,14,9,9
102,-8,0,8,8,8,64,64,64,64,0,2,2,0,8,1,0,2,8,0,3,2,8,1,5,0,8,1,3,0,0,0,1,1.25,3,1.0,3.0,3.0,0.186338998125,0.5,0.216506350946,0.5,1.75,3,1.3333333333333333,3.0,1,8,20,3,5,2,0,0,3,1.6666666666666667,1,2,3.0,3,2,1,3,8,2.0,1,5,10,5,5
103,-6,2,6,6,10,36,112,56,48,4,4,2,1,6,1,0,2,16,0,0,4,16,1,0,4,12,1,0,1,2,0,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,12,7,7
104,-10,6,6,6,6,100,48,24,48,36,4,6,0,10,1,0,0,12,3,0,3,12,6,0,4,12,3,0,1,6,0,0,2.25,4,0.9230769230769231,4.0,3.6923076923076925,0.125,0.375,0.0,0.375,1.9375,4,1.4615384615384615,4.0,1,9,20,4,8,1,0,0,5,2.0,1,3,4.0,4,3,1,4,10,2.848681565885773,1,4,15,12,9
105,-8,8,8,8,8,64,64,0,64,64,2,6,1,8,1,0,4,8,0,3,3,0,0,6,0,8,0,3,0,8,0,0,2.5,4,1.3333333333333333,4.0,5.333333333333333,0.25,0.5,0.0,0.5,2.25,4,1.6666666666666667,4.0,1,6,16,4,9,1,0,0,5,2.6,1,4,4.0,4,4,1,5,8,2.0,1,4,18,13,13
106,-8,4,4,8,8,64,80,48,48,16,3,2,0,8,1,0,1,12,1,2,2,12,3,3,1,12,2,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,6,12,9,7
107,-6,6,6,6,10,36,112,24,48,36,4,2,1,6,1,0,3,16,1,0,4,12,3,0,3,12,2,0,1,6,0,0,1.6875,4,1.2727272727272727,2.8,3.5636363636363635,0.25,0.625,0.108253175473,0.625,2.0625,4,1.5454545454545454,3.2,1,6,18,4,8,1,0,0,4,2.5,1,4,3.25,3,2,1,3,10,2.848681565885773,1,6,14,11,10
108,-8,4,4,8,8,64,80,48,48,16,3,2,0,8,1,0,1,12,1,2,2,12,3,3,1,12,2,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,6,12,9,7
109,-6,6,6,6,10,36,112,24,48,36,4,2,1,6,1,0,3,16,1,0,4,12,3,0,3,12,2,0,1,6,0,0,1.6875,4,1.2727272727272727,2.8,3.5636363636363635,0.25,0.625,0.108253175473,0.625,2.0625,4,1.5454545454545454,3.2,1,6,18,4,8,1,0,0,4,2.5,1,4,3.25,3,2,1,3,10,2.848681565885773,1,6,14,11,10
110,-6,2,6,6,10,36,112,56,48,4,4,2,0,6,1,0,2,16,2,0,3,16,5,0,2,12,3,0,1,2,0,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,10,8,6
111,-4,4,4,4,12,16,160,32,32,16,3,2,1,4,1,0,2,16,0,2,3,8,1,4,2,8,1,2,0,4,0,0,1.0,3,1.2,2.0,2.4,0.303337912053,0.75,0.216506350946,0.75,1.75,3,1.4,2.3333333333333335,1,7,20,4,6,1,0,0,3,2.3333333333333335,1,3,2.6666666666666665,2,1,1,2,12,2.216917186688699,1,6,11,8,7
112,-10,2,2,6,6,100,80,56,16,4,4,2,0,10,1,0,1,16,1,0,1,16,4,0,1,8,3,0,1,2,0,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,5,8,5,4
113,-8,4,4,4,8,64,112,48,16,16,3,2,1,8,1,0,3,20,1,0,5,12,1,3,3,4,0,3,0,4,0,0,1.1875,3,0.8333333333333334,2.5,2.0833333333333335,0.125,0.5,0.0,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,4,7,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,6,11,6,7
114,-8,4,4,4,8,64,96,64,32,0,3,1,0,8,1,0,2,16,1,1,4,16,3,2,2,8,2,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,10,5,5
115,-6,2,2,6,10,36,144,56,16,4,4,1,1,6,1,0,2,20,1,0,2,16,3,0,2,8,2,0,1,2,0,0,0.6875,3,0.9090909090909091,2.0,1.8181818181818181,0.186338998125,0.625,0.108253175473,0.625,1.5625,3,1.2727272727272727,2.2,1,9,22,4,5,1,0,0,3,1.6666666666666667,1,2,2.5,2,1,1,2,10,2.848681565885773,1,7,8,5,5
116,-8,4,4,4,8,64,96,64,32,0,3,1,0,8,1,0,2,16,1,1,4,16,3,2,2,8,2,2,0,0,0,1,0.9375,3,0.8333333333333334,2.5,2.0833333333333335,0.117851130198,0.5,0.108253175473,0.5,1.75,3,1.3333333333333333,3.0,1,9,22,3,5,1,0,0,4,1.75,1,3,3.0,3,1,1,2,8,3.0,1,7,10,5,5
117,-6,2,2,6,10,36,144,56,16,4,4,1,1,6,1,0,2,20,1,0,2,16,3,0,2,8,2,0,1,2,0,0,0.6875,3,0.9090909090909091,2.0,1.8181818181818181,0.186338998125,0.625,0.108253175473,0.625,1.5625,3,1.2727272727272727,2.2,1,9,22,4,5,1,0,0,3,1.6666666666666667,1,2,2.5,2,1,1,2,10,2.848681565885773,1,7,8,5,5
118,-6,2,6,6,10,36,112,56,48,4,4,2,0,6,1,0,3,16,1,0,5,16,4,0,3,12,4,0,1,2,1,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,13,6,6
119,-4,0,4,4,12,16,176,48,16,0,3,2,1,4,1,0,1,20,0,1,1,12,1,3,1,4,1,3,0,0,0,1,0.4375,2,1.0,1.6666666666666667,1.6666666666666667,0.25,0.75,0.216506350946,0.75,1.5,2,1.2,2.0,1,9,22,3,4,2,0,0,2,1.5,1,2,2.0,2,1,1,2,12,2.216917186688699,1,5,6,4,3
120,-8,4,4,8,8,64,80,48,48,16,3,2,0,8,1,0,1,12,1,2,2,12,3,3,1,12,2,1,0,4,0,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,6,12,9,7
121,-6,6,6,6,10,36,112,24,48,36,4,2,1,6,1,0,3,16,1,0,4,12,3,0,3,12,2,0,1,6,0,0,1.6875,4,1.2727272727272727,2.8,3.5636363636363635,0.25,0.625,0.108253175473,0.625,2.0625,4,1.5454545454545454,3.2,1,6,18,4,8,1,0,0,4,2.5,1,4,3.25,3,2,1,3,10,2.848681565885773,1,6,14,11,10
122,-6,2,6,6,10,36,112,56,48,4,4,2,0,6,1,0,2,16,2,0,3,16,5,0,2,12,3,0,1,2,0,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,10,8,6
123,-4,4,4,4,12,16,160,32,32,16,3,2,1,4,1,0,2,16,0,2,3,8,1,4,2,8,1,2,0,4,0,0,1.0,3,1.2,2.0,2.4,0.303337912053,0.75,0.216506350946,0.75,1.75,3,1.4,2.3333333333333335,1,7,20,4,6,1,0,0,3,2.3333333333333335,1,3,2.6666666666666665,2,1,1,2,12,2.216917186688699,1,6,11,8,7
124,-6,2,6,6,10,36,112,56,48,4,4,2,0,6,1,0,2,16,2,0,3,16,5,0,2,12,3,0,1,2,0,0,1.0,3,1.0909090909090908,2.4,2.6181818181818177,0.186338998125,0.625,0.216506350946,0.625,1.875,3,1.3636363636363635,3.0,1,7,20,4,6,1,0,0,3,2.0,1,4,3.0,3,1,1,2,10,2.848681565885773,1,6,10,8,6
125,-4,4,4,4,12,16,160,32,32,16,3,2,1,4,1,0,2,16,0,2,3,8,1,4,2,8,1,2,0,4,0,0,1.0,3,1.2,2.0,2.4,0.303337912053,0.75,0.216506350946,0.75,1.75,3,1.4,2.3333333333333335,1,7,20,4,6,1,0,0,3,2.3333333333333335,1,3,2.6666666666666665,2,1,1,2,12,2.216917186688699,1,6,11,8,7
126,-4,4,4,4,12,16,144,48,48,0,3,6,0,4,1,0,3,12,0,3,6,12,3,3,3,12,3,1,0,0,0,1,0.75,3,1.2,2.0,2.4,0.25,0.75,0.324759526419,0.75,2.0,3,1.4,3.0,1,6,20,4,7,1,0,0,3,2.3333333333333335,1,6,3.0,3,1,1,2,12,2.216917186688699,1,4,13,9,7
127,-2,2,2,2,14,4,208,24,16,4,4,6,1,2,1,0,1,20,0,0,0,12,3,0,1,8,3,0,1,2,0,0,0.4375,3,1.1111111111111112,1.4285714285714286,1.5873015873015874,0.375,0.875,0.324759526419,0.875,1.5625,3,1.2222222222222223,2.0,1,9,22,4,5,1,0,0,2,2.0,1,3,2.0,2,1,1,2,14,1.7012377755992936,1,4,7,7,4
128,-14,2,2,2,2,196,16,24,16,4,4,6,0,14,1,0,0,8,3,0,0,12,3,0,1,8,1,0,1,2,1,0,1.0,4,0.26666666666666666,4.0,1.0666666666666667,0.0,0.125,0.0,0.125,1.1875,4,1.0,4.0,4,18,28,4,5,7,0,0,4,1.0,1,1,4.0,4,1,1,2,14,1.7012377755992936,4,3,9,8,4
129,-12,4,4,4,4,144,16,48,48,0,3,6,1,12,1,0,4,4,0,3,6,12,0,3,3,12,0,1,0,0,0,1,1.5,4,0.5714285714285714,4.0,2.2857142857142856,0.0,0.25,0.108253175473,0.25,1.75,4,1.4285714285714286,4.0,1,12,24,4,7,1,0,0,7,1.8571428571428572,1,2,4.0,4,2,1,3,12,2.216917186688699,1,4,15,10,8
130,-12,4,4,4,4,144,32,32,32,16,3,2,0,12,1,0,1,8,1,2,3,8,1,4,2,8,1,2,0,4,1,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,5,12,9,7
131,-10,2,6,6,6,100,48,56,48,4,4,2,1,10,1,0,3,12,1,0,3,16,1,0,2,12,1,0,1,2,1,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,6,12,9,7
132,-12,4,4,4,4,144,32,32,32,16,3,2,0,12,1,0,1,8,1,2,3,8,1,4,2,8,1,2,0,4,1,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,5,12,9,7
133,-10,2,6,6,6,100,48,56,48,4,4,2,1,10,1,0,3,12,1,0,3,16,1,0,2,12,1,0,1,2,1,0,1.4375,4,0.7692307692307693,3.3333333333333335,2.5641025641025643,0.093169499062,0.375,0.108253175473,0.375,1.75,4,1.3846153846153846,3.3333333333333335,1,10,22,4,6,1,0,0,5,1.8,1,2,3.5,3,2,1,3,10,2.848681565885773,1,6,12,9,7
134,-10,6,6,6,6,100,48,24,48,36,4,2,0,10,1,0,2,12,2,0,4,12,3,0,3,12,2,0,1,6,1,0,2.25,4,0.9230769230769231,4.0,3.6923076923076925,0.125,0.375,0.0,0.375,1.9375,4,1.4615384615384615,4.0,1,9,20,4,8,1,0,0,5,2.0,1,3,4.0,4,3,1,4,10,2.848681565885773,1,6,16,12,10
135,-8,4,4,8,8,64,80,48,48,16,3,2,1,8,1,0,2,12,0,2,2,12,0,3,1,12,1,1,0,4,1,0,1.5,4,1.0,3.0,3.0,0.125,0.5,0.108253175473,0.5,1.875,4,1.4166666666666667,3.25,1,8,20,4,7,1,0,0,4,2.0,1,3,3.3333333333333335,3,2,1,3,8,3.0,1,6,12,10,8
136,-12,0,4,4,4,144,48,48,16,0,3,2,0,12,1,0,0,12,2,1,1,12,2,3,1,4,0,3,0,0,0,1,0.9375,3,0.42857142857142855,3.0,1.2857142857142856,0.0,0.25,0.0,0.25,1.25,3,1.0,3.0,3,15,26,3,4,6,0,0,3,1.0,1,1,3.0,3,1,1,2,12,2.216917186688699,3,4,7,5,3
